categoria,dificultad,pregunta,correcta,incorrecta
biologia,facil,"Los elefantes utilizados en el circo son mamíferos.",verdadero,"falso"
biologia,facil,"Los caballos son animales que pueden ser entrenados para espectáculos.",verdadero,"falso"
biologia,facil,"Los tigres tienen garras retráctiles.",verdadero,"falso"
biologia,facil,"Los leones son carnívoros.",verdadero,"falso"
biologia,facil,"Los koalas tienen huellas dactilares similares a las humanas.",verdadero,falso
biologia,facil,"Las ballenas azules son los animales más grandes que han existido.",verdadero,falso
biologia,facil,"Los pulpos tienen tres corazones.",verdadero,falso
biologia,facil,"Los camaleones pueden mover sus ojos en direcciones independientes.",verdadero,falso
biologia,facil,"Los murciélagos son ciegos y se guían solo por ecolocalización.",falso,verdadero
biologia,medio,"Los caballos pueden condicionarse mediante refuerzos positivos.",verdadero,"falso"
biologia,medio,"Los elefantes tienen una excelente memoria, útil en su entrenamiento.",verdadero,"falso"
biologia,medio,"Las mitocondrias tienen su propio ADN separado del núcleo celular.",verdadero,falso
biologia,medio,"Los virus pueden reproducirse fuera de una célula huésped.",falso,verdadero
biologia,medio,"Los tiburones son peces cartilaginosos sin vejiga natatoria.",verdadero,falso
biologia,medio,"Las plantas realizan fotosíntesis y respiración celular simultáneamente.",verdadero,falso
biologia,medio,"Los humanos comparten aproximadamente el 50% de su ADN con los plátanos.",falso,verdadero
biologia,medio,"Los leones del circo aprenden rutinas por instinto natural.",falso,"verdadero"
biologia,medio,"Los grandes felinos del circo necesitan cuidados veterinarios especiales.",verdadero,"falso"
biologia,dificil,"Los tigres blancos deben su color a una mutación recesiva.",verdadero,"falso"
biologia,dificil,"Los caballos pueden experimentar estrés crónico si no se manejan adecuadamente.",verdadero,"falso"
biologia,dificil,"Los elefantes del circo sudan por las patas para regular su temperatura.",falso,"verdadero"
biologia,dificil,"La genética influye en la docilidad de algunos animales de circo.",verdadero,"falso"
biologia,dificil,"Los leones tienen un campo visual más amplio que los humanos.",verdadero,"falso"
ciencia,facil,"El agua hierve a 100°C al nivel del mar en condiciones estándar.",verdadero,falso
ciencia,facil,"Los electrones tienen carga negativa.",verdadero,falso
ciencia,facil,"El diamante es la forma más dura de carbono natural.",verdadero,falso
ciencia,facil,"La luz viaja más rápido en el vacío que en el agua.",verdadero,falso
ciencia,facil,"El sonido no se propaga en el vacío.",verdadero,falso
ciencia,facil,"El Sol es una estrella.",verdadero,falso
ciencia,facil,"Los trapecistas deben tener buen equilibrio para evitar caídas.",verdadero,"falso"
ciencia,facil,"La gravedad afecta los saltos de los acróbatas.",verdadero,"falso"
ciencia,facil,"Los malabaristas dependen de la fuerza centrífuga.",falso,"verdadero"
ciencia,facil,"El equilibrio es fundamental en el acto de cuerda floja.",verdadero,"falso"
ciencia,medio,"El centro de gravedad influye en la estabilidad del equilibrista.",verdadero,"falso"
ciencia,medio,"Los malabaristas se benefician de entender trayectorias parabólicas.",verdadero,"falso"
ciencia,medio,"El fuego de los tragafuegos es producido por agua especial.",falso,"verdadero"
ciencia,medio,"El equilibrio dinámico es esencial para los monociclistas del circo.",verdadero,"falso"
ciencia,medio,"El principio de conservación del momento angular se ve en malabaristas.",verdadero,"falso"
ciencia,dificil,"El movimiento de un acróbata en caída libre puede modelarse con ecuaciones de segundo orden.",verdadero,"falso"
ciencia,medio,"La teoría de la relatividad general explica la gravedad como curvatura del espacio-tiempo.",verdadero,falso
ciencia,medio,"El efecto Coriolis influye en la dirección de los huracanes.",verdadero,falso
ciencia,medio,"Los superconductores tienen resistencia eléctrica cero.",verdadero,falso
ciencia,medio,"El Principio de Incertidumbre de Heisenberg se aplica a partículas subatómicas.",verdadero,falso
ciencia,medio,"La fusión nuclear produce menos energía que la fisión nuclear.",falso,verdadero
ciencia,dificil,"Los cuásares son núcleos galácticos activos alimentados por agujeros negros supermasivos.",verdadero,falso
ciencia,dificil,"La entropía de un sistema aislado siempre aumenta con el tiempo.",verdadero,falso
ciencia,dificil,"El entrelazamiento cuántico permite correlaciones instantáneas entre partículas.",verdadero,falso
ciencia,dificil,"Los cristales de tiempo rompen la simetría de traslación temporal.",verdadero,falso
ciencia,dificil,"La teoría de cuerdas propone que las partículas son vibraciones unidimensionales.",verdadero,falso
ciencia,dificil,"Los malabaristas aplican principios de física newtoniana inconscientemente.",verdadero,"falso"
ciencia,dificil,"Los tragafuegos usan combustibles con bajo punto de ignición.",verdadero,"falso"
ciencia,dificil,"La percepción del riesgo en actos peligrosos se relaciona con la amígdala cerebral.",verdadero,"falso"
ciencia,dificil,"Los equilibristas alteran su postura para modificar su centro de masa.",verdadero,"falso"
biologia,dificil,"La telomerasa ayuda a prevenir el acortamiento de los telómeros durante la división celular.",verdadero,falso
biologia,dificil,"La crisálida de las mariposas secreta enzimas para digerir sus propios tejidos.",verdadero,falso
biologia,dificil,"Los tardígrados pueden sobrevivir en el vacío del espacio gracias a la anhidrobiosis.",verdadero,falso
biologia,dificil,"La selección kin es un factor en la evolución del comportamiento altruista.",verdadero,falso
biologia,dificil,"Los hongos están más estrechamente relacionados con los animales que con las plantas.",verdadero,falso
arte,facil,"Los trajes de los payasos suelen tener colores brillantes.",verdadero,"falso"
arte,facil,"El maquillaje de payaso se usa para ocultar su identidad real.",falso,"verdadero"
arte,facil,"El circo utiliza música alegre para animar al público.",verdadero,"falso"
arte,facil,"Los colores primarios son frecuentes en la decoración circense.",verdadero,"falso"
arte,facil,"La Mona Lisa fue pintada por Leonardo da Vinci.",verdadero,falso
arte,facil,"El violín tiene cuatro cuerdas.",verdadero,falso
arte,facil,"Van Gogh se cortó la oreja izquierda.",verdadero,falso
arte,facil," Shakespeare escribió principalmente en inglés isabelino.",verdadero,falso
arte,facil,"La música clásica barroca precede al período clásico.",verdadero,falso
arte,facil,"Los acróbatas nunca usan vestuario especial.",falso,"verdadero"
arte,medio,"El Guernica de Picasso representa el bombardeo de la ciudad vasca durante la guerra civil española.",verdadero,falso
arte,medio,"La perspectiva lineal fue desarrollada durante el Renacimiento.",verdadero,falso
arte,medio,"Stravinsky compuso 'La consagración de la primavera'.",verdadero,falso
arte,medio,"El ballet 'El lago de los cisnes' fue compuesto por Tchaikovsky.",verdadero,falso
arte,medio,"El dripping era una técnica característica de Jackson Pollock.",verdadero,falso
arte,medio,"El vestuario circense se diseña para destacar bajo luces brillantes.",verdadero,"falso"
arte,medio,"El maquillaje de payaso se aplica igual en todas las culturas.",falso,"verdadero"
