categoria,dificultad,pregunta,correcta,incorrecta1,incorrecta2,incorrecta3
biologia,facil,"¿Qué animal puede regenerar sus extremidades si las pierde?","la lagartija","el elefante","el pinguino","la jirafa"
biologia,facil,"¿Cuál es el órgano más grande del cuerpo humano?","La piel","El corazón","El hígado","El cerebro"
biologia,facil,"¿Qué fruto tiene sus semillas por fuera?","La fresa","El plátano","La manzana","La naranja"
biologia,facil,"¿Qué usan los murciélagos para 'ver' en la oscuridad?","Sus oídos","Sus bigotes","Sus alas","Su nariz"
biologia,facil,"¿Qué tipo de sangre chupa el mosquito al nacer?","Ninguna","Sangre humana","Sangre de vaca","Sangre de otros insectos"
biologia,facil,¿Cuál es el proceso por el cual las plantas convierten la luz en energía?,Fotosíntesis,Respiración,Transpiración,Digestión
biologia,facil,¿Qué órgano del cuerpo humano produce insulina?,El páncreas,Hígado,Riñón,Estómago
biologia,facil,¿Cuál es el elemento químico más abundante en la Tierra?,Oxígeno,Hierro,Cobre,Silicio
biologia,facil,¿Qué parte de la célula contiene el material genético?,El núcleo,Citoplasma,Mitochondria,Membrana
biologia,medio,"¿Qué porcentaje de agua tiene un bebé recién nacido?","75-80%","50%","60%","90%"
biologia,medio,"¿Cuál es el único mamífero que no puede saltar?","el elefante","El rinoceronte","El hipopótamo","La ballena"
biologia,medio,"¿Qué proteína usan los músculos para contraerse?","Actina y miosina","Queratina","Colágeno","Hemoglobina"
biologia,medio,"¿Por qué las cebras tienen rayas?","Para confundir a los depredadores","Para atraer pareja","Porque son fanáticas de la moda","Para camuflarse en la nieve"
biologia,medio,"¿Qué animal tiene huellas dactilares casi iguales a las humanas?","El koala","El delfín","El gorila","El perro"
biologia,medio,¿Qué tipo de sangre puede recibir un donante universal?,O negativo,O positivo,A positivo,AB negativo
biologia,medio,¿Cuál es la función principal de los glóbulos rojos?,Transportar oxígeno,Producir anticuerpos,Regular la temperatura,Transportar nutrientes
biologia,medio,¿Qué estructura del ojo controla la cantidad de luz que entra?,La pupila,La córnea,El iris,La retina
biologia,medio,¿Cuál es la principal función de las raíces en las plantas?,Absorber agua y nutrientes,Producir semillas,Realizar fotosíntesis,Almacenar azúcares
biologia,dificil,"¿Qué medusa es 'inmortal' al revertir su envejecimiento?","Turritopsis dohrnii","Medusa melena de león","Medusa caja","Medusa luna"
biologia,dificil,"¿Cuántos estómagos tiene un pulpo?","tres","uno","dos","cuatro"
biologia,dificil,"¿Qué planta crece más rápido?","El bambú","El roble","El girasol","La secuoya"
biologia,dificil,"¿Qué enzima hace brillar a las luciérnagas?","Luciferasa","Amilasa","Catalasa","Lipasa"
biologia,dificil,"¿Qué animal tiene el cerebro más grande en proporción a su cuerpo?","La hormiga","El humano","El delfín","El chimpancé"
biologia,dificil,¿Qué proteína es responsable de la contracción muscular?,Actina y miosina,Colágeno,Queratina,Elastina
biologia,dificil,¿Cuál es el nombre del proceso en el que las células se dividen para formar células hijas?,Mitosis,Meiosis,Fagocitosis,Apoptosis
biologia,dificil,¿Qué estructura en la célula vegetal almacena agua?,Vacúola central,Cloroplasto,Retículo endoplasmático,Núcleo
biologia,dificil,¿Qué tipo de organismo realiza la fotosíntesis?,Las plantas,Los animales,Los hongos,Las bacterias
arte,facil,¿Quién pintó 'La Última Cena'?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Rembrandt
arte,facil,¿Qué técnica artística consiste en tallar piedra o madera?,Escultura,Grabado,Modelado,Cerámica
